YEAR,COUNTY_DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,ADMINISTRATOR_FTE,ADMINISTRATOR_SALARY_AVERAGE,TEACHER_FTE,TEACHER_SALARY_AVG,TEACHER_SALARY_AVG_REG_TERM,TEACHER_AVERAGE_YEARS_EXP,TEACHER_MAST_DEGREE_PERCENT
2012,001090,ADAIR CO. R-I,1000,CENTRAL OFFICE,2.00,76819,0.00,0,0,0,0
2013,001090,ADAIR CO. R-I,1000,CENTRAL OFFICE,1.90,79827,0.00,0,0,0,0
2014,001090,ADAIR CO. R-I,1000,CENTRAL OFFICE,0.50,86200,0.00,0,0,0,0
2015,001090,ADAIR CO. R-I,1000,CENTRAL OFFICE,1.00,86200,0.00,0,0,0,0
2016,001090,ADAIR CO. R-I,1000,CENTRAL OFFICE,1.00,88300,0.00,0,0,0,0
2017,001090,ADAIR CO. R-I,1000,CENTRAL OFFICE,1.00,90508,0.00,0,0,0,0
2018,001090,ADAIR CO. R-I,1000,CENTRAL OFFICE,1.00,92987,0.00,0,0,0,0
2019,001090,ADAIR CO. R-I,1000,CENTRAL OFFICE,1.00,95368,0.00,0,0,0,0
2012,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,0.00,0,12.79,35727,33265,14.4,56
2013,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,0.10,68500,13.90,37838,35903,17.8,74.8
2014,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,0.25,42800,13.90,37569,35675,16.4,69.4
2015,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,0.50,21664,13.90,37569,35633,16.4,62.2
2016,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,1.00,27435,12.40,36052,36052,14.7,53.6
2017,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,0.40,46963,12.65,35587,35587,13,50.6
2018,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,0.40,48150,11.65,38083,37698,16.1,50.6
2019,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,0.40,39470,12.15,37943,37650,16.6,69
2012,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,0.00,0,12.96,34772,34473,16.2,79.8
2013,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,0.00,0,12.60,34536,34036,14,74.2
2014,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,1.25,58161,12.10,35361,34635,14.7,71.1
2015,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,1.50,49889,12.10,35361,34704,14.5,62.8
2016,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,1.50,55957,11.10,34185,34185,11.7,50.5
2017,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,1.40,61374,12.10,34231,34231,11.4,48.3
2018,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,2.40,47040,11.10,36998,35870,12.8,52.7
2019,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,2.40,46592,11.10,36471,35421,11.8,57.4
2012,001091,KIRKSVILLE R-III,1000,CENTRAL OFFICE,5.00,85057,0.00,0,0,0,0
2013,001091,KIRKSVILLE R-III,1000,CENTRAL OFFICE,5.00,81433,0.00,0,0,0,0
2014,001091,KIRKSVILLE R-III,1000,CENTRAL OFFICE,5.00,85000,0.00,0,0,0,0
2015,001091,KIRKSVILLE R-III,1000,CENTRAL OFFICE,5.00,89671,0.00,0,0,0,0
2016,001091,KIRKSVILLE R-III,1000,CENTRAL OFFICE,5.00,91942,0.00,0,0,0,0
2017,001091,KIRKSVILLE R-III,1000,CENTRAL OFFICE,5.00,90027,0.00,0,0,0,0
2018,001091,KIRKSVILLE R-III,1000,CENTRAL OFFICE,5.00,94261,0.00,0,0,0,0
2019,001091,KIRKSVILLE R-III,1000,CENTRAL OFFICE,5.00,95406,0.00,0,0,0,0
2012,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,2.00,70021,47.90,41088,38679,12.6,69
2013,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,2.00,72468,48.73,41182,39239,12.5,66.4
2014,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,3.00,71517,46.41,41316,39275,11.8,77
2015,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,3.00,73451,46.84,42674,40574,12.4,73.8
2016,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,3.00,72880,49.49,43166,40985,12.5,75
2017,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,3.00,71513,47.20,43715,41560,12.8,71.3
2018,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,3.00,71938,48.59,44119,42052,14.6,73.3
2019,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,3.00,74195,51.64,44157,42369,14.2,74
2012,001091,KIRKSVILLE R-III,1100,KIRKSVILLE AREA TECH. CTR.,1.00,67000,14.08,37729,36852,12.3,23
2013,001091,KIRKSVILLE R-III,1100,KIRKSVILLE AREA TECH. CTR.,1.00,70014,13.15,39368,38467,11.8,9.4
2014,001091,KIRKSVILLE R-III,1100,KIRKSVILLE AREA TECH. CTR.,1.00,72114,13.89,42043,40857,14.1,31.6
2015,001091,KIRKSVILLE R-III,1100,KIRKSVILLE AREA TECH. CTR.,1.00,74277,15.15,42353,41237,14.6,30.9
2016,001091,KIRKSVILLE R-III,1100,KIRKSVILLE AREA TECH. CTR.,1.00,76095,13.79,44093,42781,14.4,32.8
2017,001091,KIRKSVILLE R-III,1100,KIRKSVILLE AREA TECH. CTR.,1.00,76625,11.00,44227,43030,14.4,31.2
2018,001091,KIRKSVILLE R-III,1100,KIRKSVILLE AREA TECH. CTR.,1.00,77350,9.45,43178,41818,13.4,27.2
2019,001091,KIRKSVILLE R-III,1100,KIRKSVILLE AREA TECH. CTR.,1.00,77750,10.60,43163,41849,12,32.4
2012,001091,KIRKSVILLE R-III,3000,KIRKSVILLE MIDDLE,2.00,62985,38.56,39427,38109,11.2,72.4
2013,001091,KIRKSVILLE R-III,3000,KIRKSVILLE MIDDLE,2.00,65553,38.02,40623,39105,11.6,72.4
2014,001091,KIRKSVILLE R-III,3000,WILLIAM MATTHEW MIDDLE SCHOOL,2.00,69812,39.82,40671,39095,11.4,81.6
2015,001091,KIRKSVILLE R-III,3000,WILLIAM MATTHEW MIDDLE SCHOOL,2.00,71907,38.42,42899,41068,11.9,79.6
2016,001091,KIRKSVILLE R-III,3000,WILLIAM MATTHEW MIDDLE SCHOOL,2.00,73575,38.92,43671,41682,11.6,75.8
2017,001091,KIRKSVILLE R-III,3000,WILLIAM MATTHEW MIDDLE SCHOOL,2.00,74110,38.11,44225,42456,13.2,75.3
2018,001091,KIRKSVILLE R-III,3000,WILLIAM MATTHEW MIDDLE SCHOOL,2.00,74695,37.99,43792,42119,13.2,68.4
2019,001091,KIRKSVILLE R-III,3000,WILLIAM MATTHEW MIDDLE SCHOOL,2.00,75245,39.60,43262,41962,13.2,61.9
2012,001091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,2.00,63723,62.19,39811,39177,15.2,76.7
2013,001091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,2.00,66756,61.21,41027,40231,14.2,73.9
2014,001091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,2.00,71429,63.18,41253,40565,14.4,74.7
2015,001091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,2.00,73572,65.14,42058,41094,13.7,72.6
2016,001091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,2.00,75731,64.37,42167,41298,12.2,73.6
2017,001091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,2.00,78947,60.63,42744,41770,11.5,75.7
2018,001091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,1.98,79661,63.81,43056,42035,11.8,76.8
2019,001091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,2.00,80449,64.52,43624,42592,12.5,77.7
2012,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,1.00,72472,42.96,39644,39022,14.4,68.3
2013,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,1.00,75008,42.96,40538,39869,14.8,66
2014,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,1.00,77258,43.93,40900,40073,13.4,71.4
2015,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,1.00,79576,44.55,41710,40865,13.2,71.8
2016,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,1.00,82000,43.45,42593,41653,13.2,69.4
2017,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,1.00,82530,45.39,42303,41283,12.7,68.5
2018,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,1.00,83255,44.14,42715,41620,12,68.5
2019,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,1.00,68000,43.88,42981,41826,12,72.3
2012,001092,ADAIR CO. R-II,1000,CENTRAL OFFICE,0.50,66100,0.00,0,0,0,0
2013,001092,ADAIR CO. R-II,1000,CENTRAL OFFICE,0.50,66600,0.00,0,0,0,0
2014,001092,ADAIR CO. R-II,1000,CENTRAL OFFICE,0.50,66600,0.00,0,0,0,0
2015,001092,ADAIR CO. R-II,1000,CENTRAL OFFICE,0.50,68612,0.00,0,0,0,0
2016,001092,ADAIR CO. R-II,1000,CENTRAL OFFICE,0.50,70034,0.00,0,0,0,0
2017,001092,ADAIR CO. R-II,1000,CENTRAL OFFICE,0.50,70734,0.00,0,0,0,0
2018,001092,ADAIR CO. R-II,1000,CENTRAL OFFICE,0.50,71442,0.00,0,0,0,0
2019,001092,ADAIR CO. R-II,1000,CENTRAL OFFICE,0.50,81000,0.00,0,0,0,0
2012,001092,ADAIR CO. R-II,1050,1050 ADAIR CO. HIGH,1.00,54000,12.95,33289,32325,12.7,78.8
2013,001092,ADAIR CO. R-II,1050,1050 ADAIR CO. HIGH,1.00,54500,12.41,33266,32467,13.3,78.2
2014,001092,ADAIR CO. R-II,1050,1050 ADAIR CO. HIGH,1.00,54500,12.12,33352,32247,12.5,70.6
2015,001092,ADAIR CO. R-II,1050,ADAIR CO. HIGH,1.00,56145,11.98,34449,33394,13.9,64.3
2016,001092,ADAIR CO. R-II,1050,ADAIR CO. HIGH,1.00,57269,11.69,36193,35236,15.4,70.7
2017,001092,ADAIR CO. R-II,1050,ADAIR CO. HIGH,1.00,57842,11.56,35491,34622,16.7,76.6
2018,001092,ADAIR CO. R-II,1050,ADAIR CO. HIGH,0.00,0,11.56,36440,34952,17.5,76.6
2019,001092,ADAIR CO. R-II,1050,ADAIR CO. HIGH,0.00,0,11.56,36958,35376,18.1,67.9
2012,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,0.50,66100,11.00,31870,31565,12.3,61.4
2013,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,0.50,66600,11.04,31017,30629,9.9,52.1
2014,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,0.50,66600,10.88,32134,31647,11.1,40.8
2015,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,0.50,68610,9.88,31929,31506,11.9,53.6
2016,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,0.50,70034,9.88,32540,32191,13,53.6
2017,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,0.50,70734,10.44,33064,32624,13.9,58.9
2018,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,0.50,71440,10.44,33557,32715,14.7,58.9
2019,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,0.50,81000,10.44,34043,33202,14.7,58.9
2012,002089,NORTH ANDREW CO. R-VI,1000,CENTRAL OFFICE,1.00,87244,0.58,43936,36447,12,0
2013,002089,NORTH ANDREW CO. R-VI,1000,CENTRAL OFFICE,1.00,89803,0.50,41802,34232,3,0
2014,002089,NORTH ANDREW CO. R-VI,1000,CENTRAL OFFICE,1.00,93395,0.50,42738,35086,4,0
2015,002089,NORTH ANDREW CO. R-VI,1000,CENTRAL OFFICE,1.00,97224,0.50,45810,36548,5,0
2016,002089,NORTH ANDREW CO. R-VI,1000,CENTRAL OFFICE,1.00,101130,0.56,43570,33621,1,100
2017,002089,NORTH ANDREW CO. R-VI,1000,CENTRAL OFFICE,1.00,103253,0.00,0,0,0,0
2018,002089,NORTH ANDREW CO. R-VI,1000,CENTRAL OFFICE,1.00,106454,0.00,0,0,0,0
2019,002089,NORTH ANDREW CO. R-VI,1000,CENTRAL OFFICE,1.00,94000,0.00,0,0,0,0
2012,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,0.50,63300,12.05,37287,35071,18.1,44
2013,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,0.50,65200,12.18,39298,37287,18.4,45.9
2014,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,0.50,70000,10.67,39752,37636,17.9,52.1
2015,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,0.50,72000,10.69,43509,38966,18.3,53.3
2016,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,0.28,74954,11.47,45576,40492,17.7,54.5
2017,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,0.28,78025,12.28,46141,41430,16,53.3
2018,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,0.50,80444,12.51,46512,42396,17.6,58.7
2019,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,0.50,82938,13.86,45546,42723,16.8,52.8
2012,002089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE,0.50,63300,5.75,36979,34342,14.6,47
2013,002089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE,0.50,65200,6.01,36685,34623,11.7,40.1
2014,002089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE,0.50,70000,7.83,35295,33661,11,18.4
2015,002089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE,0.50,72000,7.81,39294,35490,12.2,29.4
2016,002089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE,0.50,74952,7.22,40742,36066,12.1,38
2017,002089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE,0.50,78026,6.94,41124,36551,10.8,36.7
2018,002089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE,0.50,80444,7.49,41856,37752,10.8,45.8
2019,002089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE,0.50,82938,6.82,42624,38033,10.6,35.9
2012,002089,NORTH ANDREW CO. R-VI,4020,NORTH ANDREW ELEM.,1.00,66300,14.12,35256,34185,12.8,39
2013,002089,NORTH ANDREW CO. R-VI,4020,NORTH ANDREW ELEM.,1.00,68289,14.90,34712,34270,11.9,30.2
2014,002089,NORTH ANDREW CO. R-VI,4020,NORTH ANDREW ELEM.,1.00,71021,14.96,35074,34591,11.8,23.4
2015,002089,NORTH ANDREW CO. R-VI,4020,NORTH ANDREW ELEM.,1.00,73933,13.96,37297,36343,13.5,25.1
2016,002089,NORTH ANDREW CO. R-VI,4020,NORTH ANDREW ELEM.,1.00,76964,14.26,38800,37840,13.9,24.5
2017,002089,NORTH ANDREW CO. R-VI,4020,NORTH ANDREW ELEM.,1.00,80120,12.71,37701,36685,8.8,34.4
2018,002089,NORTH ANDREW CO. R-VI,4020,NORTH ANDREW ELEM.,1.00,82604,13.71,37895,36934,9.7,32.7
2019,002089,NORTH ANDREW CO. R-VI,4020,NORTH ANDREW ELEM.,1.00,78500,14.03,39012,38185,11.1,31.9
2012,002090,AVENUE CITY R-IX,1000,CENTRAL OFFICE,0.00,0,0.00,0,0,0,0
2013,002090,AVENUE CITY R-IX,1000,CENTRAL OFFICE,0.00,0,0.00,0,0,0,0
2014,002090,AVENUE CITY R-IX,1000,CENTRAL OFFICE,0.00,0,0.00,0,0,0,0
2015,002090,AVENUE CITY R-IX,1000,CENTRAL OFFICE,0.00,0,0.00,0,0,0,0
2016,002090,AVENUE CITY R-IX,1000,CENTRAL OFFICE,0.00,0,0.00,0,0,0,0
2017,002090,AVENUE CITY R-IX,1000,CENTRAL OFFICE,0.00,0,0.00,0,0,0,0
2018,002090,AVENUE CITY R-IX,1000,CENTRAL OFFICE,0.00,0,0.00,0,0,0,0
2019,002090,AVENUE CITY R-IX,1000,CENTRAL OFFICE,0.00,0,0.00,0,0,0,0
2012,002090,AVENUE CITY R-IX,4020,AVENUE CITY ELEM.,1.40,69861,14.20,39083,38248,15.8,62
2013,002090,AVENUE CITY R-IX,4020,AVENUE CITY ELEM.,1.40,72672,14.40,39834,39018,16.1,59
2014,002090,AVENUE CITY R-IX,4020,AVENUE CITY ELEM.,1.40,75574,14.40,41233,40424,16.8,54.9
2015,002090,AVENUE CITY R-IX,4020,AVENUE CITY ELEM.,1.40,78669,14.40,42316,41628,16.6,54.9
2016,002090,AVENUE CITY R-IX,4020,AVENUE CITY ELEM.,1.40,81797,14.20,43495,42719,17,64.8
2017,002090,AVENUE CITY R-IX,4020,AVENUE CITY ELEM.,1.40,84339,14.20,45182,44282,17.3,62
2018,002090,AVENUE CITY R-IX,4020,AVENUE CITY ELEM.,1.40,86868,14.40,44545,43627,15.5,48.6
2019,002090,AVENUE CITY R-IX,4020,AVENUE CITY ELEM.,1.40,90216,14.40,46610,45661,17.5,51.4
2012,002097,SAVANNAH R-III,1000,CENTRAL OFFICE,2.90,95622,0.76,67379,67226,11.4,97.4
2013,002097,SAVANNAH R-III,1000,CENTRAL OFFICE,2.90,98255,0.00,0,0,0,0
2014,002097,SAVANNAH R-III,1000,CENTRAL OFFICE,2.90,99237,0.00,0,0,0,0
2015,002097,SAVANNAH R-III,1000,CENTRAL OFFICE,2.90,102214,0.00,0,0,0,0
2016,002097,SAVANNAH R-III,1000,CENTRAL OFFICE,2.90,107350,1.00,40000,40000,15,100
2017,002097,SAVANNAH R-III,1000,CENTRAL OFFICE,3.90,98355,0.00,0,0,0,0
2018,002097,SAVANNAH R-III,1000,CENTRAL OFFICE,3.90,93968,0.00,0,0,0,0
2019,002097,SAVANNAH R-III,1000,CENTRAL OFFICE,3.90,103198,0.00,0,0,0,0
2012,002097,SAVANNAH R-III,1050,SAVANNAH HIGH,2.00,83511,49.18,42820,40338,14.8,33.7
2013,002097,SAVANNAH R-III,1050,SAVANNAH HIGH,2.00,76686,50.12,42385,39903,13.3,37.9
2014,002097,SAVANNAH R-III,1050,SAVANNAH HIGH,2.00,77453,50.24,43154,40553,13.9,34.4
2015,002097,SAVANNAH R-III,1050,SAVANNAH HIGH,1.99,79740,49.25,42945,40549,13.3,31.2
2016,002097,SAVANNAH R-III,1050,SAVANNAH HIGH,2.00,80861,49.65,44026,41145,13,33
2017,002097,SAVANNAH R-III,1050,SAVANNAH HIGH,2.00,86603,50.26,46307,43474,13.7,38.7
2018,002097,SAVANNAH R-III,1050,SAVANNAH HIGH,2.00,87469,52.86,46520,43619,13.9,37.8
2019,002097,SAVANNAH R-III,1050,SAVANNAH HIGH,2.00,82250,52.58,46900,44163,14.2,37.5
2012,002097,SAVANNAH R-III,3000,SAVANNAH MIDDLE,2.00,76751,37.06,39833,38549,12.3,45.8
2013,002097,SAVANNAH R-III,3000,SAVANNAH MIDDLE,2.00,76665,37.04,40595,38971,12.4,48.2
2014,002097,SAVANNAH R-III,3000,SAVANNAH MIDDLE,2.00,77432,38.04,40518,39085,12.5,50
2015,002097,SAVANNAH R-III,3000,SAVANNAH MIDDLE,2.00,80804,37.95,42226,40337,12.9,44.4
2016,002097,SAVANNAH R-III,3000,SAVANNAH MIDDLE,2.00,73182,40.00,42549,40279,11.7,41.4
2017,002097,SAVANNAH R-III,3000,SAVANNAH MIDDLE,2.00,76841,39.22,44165,42172,11.8,33.9
2018,002097,SAVANNAH R-III,3000,SAVANNAH MIDDLE,2.00,77609,39.56,44590,42690,12.4,34.7
2019,002097,SAVANNAH R-III,3000,SAVANNAH MIDDLE,2.00,72000,38.73,45088,43204,13.6,30.7
2012,002097,SAVANNAH R-III,4010,AMAZONIA ELEM.,1.00,63124,11.71,39013,38949,14.4,20.5
2013,002097,SAVANNAH R-III,4010,AMAZONIA ELEM.,1.00,64386,11.68,41173,40988,16.8,29.1
2014,002097,SAVANNAH R-III,4010,AMAZONIA ELEM.,1.00,64386,11.57,39566,39084,13.3,38.4
2015,002097,SAVANNAH R-III,4010,AMAZONIA ELEM.,1.00,66981,11.73,40589,39924,13.6,20.5
2016,002097,SAVANNAH R-III,4010,AMAZONIA ELEM.,1.00,68991,10.60,39609,39357,11.1,25.7
2017,002097,SAVANNAH R-III,4010,AMAZONIA ELEM.,1.00,72441,10.94,42766,41612,11.7,28
2018,002097,SAVANNAH R-III,4010,AMAZONIA ELEM.,1.00,73165,10.30,42246,42148,13,28.2
2019,002097,SAVANNAH R-III,4010,AMAZONIA ELEM.,1.00,75360,10.45,42959,42863,12.9,29.2
2012,002097,SAVANNAH R-III,4015,HELENA ELEM.,1.00,66099,7.41,39096,38732,12.3,56.1
2013,002097,SAVANNAH R-III,4015,HELENA ELEM.,0.00,0,7.19,40231,39815,13.7,59
2014,002097,SAVANNAH R-III,4015,HELENA ELEM.,1.00,62500,6.98,40774,40774,16.1,61.6
2015,002097,SAVANNAH R-III,4015,HELENA ELEM.,1.00,64375,7.46,42551,42551,17.3,57
2016,002097,SAVANNAH R-III,4015,HELENA ELEM.,1.00,66306,8.00,44912,44853,17,55.6
2017,002097,SAVANNAH R-III,4015,HELENA ELEM.,1.00,69621,8.41,46170,46170,19.1,54.5
2018,002097,SAVANNAH R-III,4015,HELENA ELEM.,1.00,70317,8.53,44941,44941,17,44.9
2019,002097,SAVANNAH R-III,4015,HELENA ELEM.,1.00,72427,8.73,46029,45914,17.8,43.9
2012,002097,SAVANNAH R-III,4020,JOHN GLENN ELEM.,1.00,72574,17.17,38136,37998,11.3,35.5
2013,002097,SAVANNAH R-III,4020,JOHN GLENN ELEM.,1.00,74025,17.70,37593,37345,9.9,51.1
2014,002097,SAVANNAH R-III,4020,JOHN GLENN ELEM.,1.00,74300,16.46,37048,36891,9.6,48.7
2015,002097,SAVANNAH R-III,4020,JOHN GLENN ELEM.,1.00,76529,16.52,39060,38766,10.7,48.7
2016,002097,SAVANNAH R-III,4020,JOHN GLENN ELEM.,1.00,78825,16.67,39045,38665,9.8,41.1
2017,002097,SAVANNAH R-III,4020,JOHN GLENN ELEM.,1.00,82766,17.27,40986,40632,10.4,40.4
2018,002097,SAVANNAH R-III,4020,JOHN GLENN ELEM.,1.00,83594,17.88,40425,40313,10.1,36.2
2019,002097,SAVANNAH R-III,4020,JOHN GLENN ELEM.,1.00,86102,17.68,40669,40556,9.7,36.7
2012,002097,SAVANNAH R-III,4040,MINNIE CLINE ELEM.,2.00,62822,36.28,38325,37892,11.7,45.8
2013,002097,SAVANNAH R-III,4040,MINNIE CLINE ELEM.,1.00,73564,37.81,39348,38987,12.5,47.6
2014,002097,SAVANNAH R-III,4040,MINNIE CLINE ELEM.,2.00,69016,37.90,40107,39963,13.8,47.3
2015,002097,SAVANNAH R-III,4040,MINNIE CLINE ELEM.,2.00,71087,38.63,40781,40359,13.3,47.6
2016,002097,SAVANNAH R-III,4040,MINNIE CLINE ELEM.,2.00,73219,40.38,41297,41111,12.8,48
2017,002097,SAVANNAH R-III,4040,MINNIE CLINE ELEM.,2.00,72861,39.16,42175,41820,11.9,43.8
2018,002097,SAVANNAH R-III,4040,MINNIE CLINE ELEM.,2.00,73589,39.14,40701,40650,10.1,36.1
2019,002097,SAVANNAH R-III,4040,MINNIE CLINE ELEM.,2.00,74608,40.00,40688,40638,9.6,35
2012,002097,SAVANNAH R-III,7500,EARLY CHILDHOOD LEARNING CTR,0.10,72720,1.00,34990,34990,6,100
2013,002097,SAVANNAH R-III,7500,EARLY CHILDHOOD LEARNING CTR,0.10,76500,1.03,33317,33149,1.8,97.1
2014,002097,SAVANNAH R-III,7500,EARLY CHILDHOOD LEARNING CTR,0.10,77270,1.00,33340,33340,2,100
2015,002097,SAVANNAH R-III,7500,EARLY CHILDHOOD LEARNING CTR,0.10,79580,1.00,34500,34500,6,0
2016,002097,SAVANNAH R-III,7500,EARLY CHILDHOOD LEARNING CTR,0.10,81970,1.00,35750,35750,7,0
2017,002097,SAVANNAH R-III,7500,EARLY CHILDHOOD LEARNING CTR,0.10,86070,1.00,37800,37800,8,0
2018,002097,SAVANNAH R-III,7500,EARLY CHILDHOOD LEARNING CTR,0.10,86930,1.00,38350,38350,9,0
2019,002097,SAVANNAH R-III,7500,EARLY CHILDHOOD LEARNING CTR,0.10,89540,2.50,40121,40121,8.2,20
2012,003031,TARKIO R-I,1000,CENTRAL OFFICE,1.00,84000,0.00,0,0,0,0
2013,003031,TARKIO R-I,1000,CENTRAL OFFICE,1.00,85680,0.00,0,0,0,0
2014,003031,TARKIO R-I,1000,CENTRAL OFFICE,1.00,87415,0.00,0,0,0,0
2015,003031,TARKIO R-I,1000,CENTRAL OFFICE,0.00,0,0.00,0,0,0,0
2016,003031,TARKIO R-I,1000,CENTRAL OFFICE,1.00,91800,0.00,0,0,0,0
2017,003031,TARKIO R-I,1000,CENTRAL OFFICE,1.00,68000,0.00,0,0,0,0
2018,003031,TARKIO R-I,1000,CENTRAL OFFICE,0.00,0,0.00,0,0,0,0
2019,003031,TARKIO R-I,1000,CENTRAL OFFICE,1.00,112000,0.00,0,0,0,0
2012,003031,TARKIO R-I,1050,TARKIO HIGH,1.25,63800,19.26,40020,37186,12.1,33.1
2013,003031,TARKIO R-I,1050,TARKIO HIGH,1.25,65076,19.51,41062,38064,13.1,39.1
2014,003031,TARKIO R-I,1050,TARKIO HIGH,1.00,67000,18.38,40463,37609,11.6,38.7
2015,003031,TARKIO R-I,1050,TARKIO HIGH,2.25,73111,20.68,39203,36425,10.5,28.6
2016,003031,TARKIO R-I,1050,TARKIO HIGH,1.25,61092,20.65,40548,37801,9.9,16.9
2017,003031,TARKIO R-I,1050,TARKIO HIGH,0.50,67000,19.90,42864,39731,11,32.7
2018,003031,TARKIO R-I,1050,TARKIO HIGH,1.25,67406,16.90,44449,41203,11.4,32.5
2019,003031,TARKIO R-I,1050,TARKIO HIGH,1.25,68706,18.25,45403,41815,11.2,39.7
2012,003031,TARKIO R-I,4020,TARKIO ELEM.,1.25,59800,19.99,38677,37727,13.9,46.9
2013,003031,TARKIO R-I,4020,TARKIO ELEM.,1.25,58404,20.99,37421,36473,11.2,39.9
2014,003031,TARKIO R-I,4020,TARKIO ELEM.,1.50,58487,21.12,37604,37070,12,42
2015,003031,TARKIO R-I,4020,TARKIO ELEM.,1.50,58283,23.57,38277,37180,11.5,43.8
2016,003031,TARKIO R-I,4020,TARKIO ELEM.,1.50,59117,25.85,38462,37729,11.7,42.6
2017,003031,TARKIO R-I,4020,TARKIO ELEM.,1.25,73400,23.60,40057,39073,12.6,46.6
2018,003031,TARKIO R-I,4020,TARKIO ELEM.,1.50,73167,24.85,40810,39816,12.4,49.3
2019,003031,TARKIO R-I,4020,TARKIO ELEM.,0.50,68250,22.75,42669,41844,14.2,51.6
2012,003032,ROCK PORT R-II,1000,CENTRAL OFFICE,1.00,89153,0.40,46250,46250,39,100
2013,003032,ROCK PORT R-II,1000,CENTRAL OFFICE,1.00,90006,0.03,46233,46233,40,100
2014,003032,ROCK PORT R-II,1000,CENTRAL OFFICE,1.00,94515,0.40,53125,50500,41,100
2015,003032,ROCK PORT R-II,1000,CENTRAL OFFICE,1.00,95000,0.40,53913,51250,42,100
